team,qual_pos,qual_time_sec,qual_time_norm,itt_best_rider_rank_imputed,itt_best_rank_norm,itt_rank_is_estimated,itt_riders_top40,mno_reached_final,mno_reached_semis,team_pursuit_pos_filled,team_pursuit_time_sec,spring_series_winner,spring_series_score,hist_races,hist_wins,hist_win_rate,hist_top3_rate,hist_top5_rate,hist_avg_finish_all,hist_avg_finish_5yr,hist_avg_finish_3yr,hist_best_finish,hist_last_finish,hist_years_since_last_race,hist_years_since_last_win,hist_consecutive_top5,hist_trend_3yr,hist_is_first_year,defending_champ,team_type_enc,actual_finish_2026
Cutters,1,145.711,1.0,1.0,1.0,0,5,1,1,1,612.69,1,0.85,26,15,0.577,1.0,1.0,1.46,2.0,2.0,1.0,2.0,1.0,3.0,26,-0.5,0,0,1,
Sigma Alpha Epsilon,2,147.216,0.9122244255219878,5.0,0.9615384615384616,0,5,0,0,2,552.69,0,3.2,8,0,0.0,1.0,1.0,2.38,2.2,2.33,2.0,3.0,1.0,99.0,8,-0.5,0,0,0,
Phi Gamma Delta,3,148.094,0.8610171468564106,7.0,0.9423076923076924,1,2,0,0,34,612.69,0,12.05,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,31.0,2,0.0,0,1,0,
Sigma Phi Epsilon,4,148.195,0.8551265601306437,6.0,0.9519230769230768,0,2,0,0,34,612.69,0,12.15,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,2,0.0,0,1,0,
Black Key Bulls,5,148.221,0.8536101714685645,2.0,0.9903846153846154,0,2,0,1,3,549.18,0,3.75,8,4,0.5,1.0,1.0,2.0,2.2,1.67,1.0,1.0,1.0,1.0,8,1.0,0,1,1,
Chi Alpha,6,149.293,0.7910883004782459,10.0,0.9134615384615384,1,1,0,0,34,612.69,0,13.85,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,2,
Beta Sigma Psi,7,149.454,0.7816983553015282,14.0,0.875,1,2,0,0,34,612.69,0,15.2,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Bears Cycling,8,150.652,0.7118278315642146,17.0,0.8461538461538461,1,2,0,0,34,612.69,0,16.3,1,0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,99.0,1,0.0,0,0,1,
Sigma Nu,9,151.8,0.6448734398693571,21.0,0.8076923076923077,1,1,0,0,34,612.69,0,17.65,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,36.0,1,0.0,0,1,0,
Cinzano,10,152.02,0.6320424588825381,24.0,0.7788461538461539,1,1,0,0,34,612.69,0,18.75,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,37.0,1,0.0,0,1,1,
CSF Cycling,11,152.525,0.6025895252537036,28.0,0.7403846153846154,1,2,0,0,34,612.69,0,20.1,1,0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,99.0,1,0.0,0,0,2,
Forest,12,152.699,0.5924413857459463,31.0,0.7115384615384616,1,2,0,0,8,612.69,0,14.7,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,1,
3PH,13,153.486,0.5465414673976448,35.0,0.6730769230769231,1,1,0,0,34,612.69,0,22.55,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,1,
Alpha Sigma Phi,14,154.469,0.4892103114429028,38.0,0.6442307692307692,1,1,0,0,34,612.69,0,23.65,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Americana,15,154.579,0.4827948209494924,42.0,0.6057692307692308,1,1,0,0,34,612.69,0,25.0,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,1,
Gray Goat,16,155.683,0.4184066254520011,45.0,0.5769230769230769,1,1,0,0,34,612.69,0,26.1,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,1,
Phi Sigma Kappa,17,155.698,0.4175317858392626,49.0,0.5384615384615384,1,1,0,0,34,612.69,0,27.45,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Human Wheels,18,156.175,0.3897118861542047,52.0,0.5096153846153846,1,1,0,0,34,612.69,0,28.55,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,1,
Pi Kappa Alpha,19,156.407,0.3761810334771954,56.0,0.4711538461538461,1,1,0,0,34,612.69,0,29.9,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Delta Tau Delta,20,156.655,0.3617170185466,59.0,0.4423076923076923,1,1,0,0,34,612.69,0,31.0,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,2,0.0,0,1,0,
Phi Delta Theta,21,156.923,0.3460865507990203,63.0,0.4038461538461538,1,1,0,0,34,612.69,0,32.35,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3,-0.0,0,1,0,
IU Dance Marathon,22,157.128,0.3341304094249397,66.0,0.375,1,1,0,0,34,612.69,0,33.45,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,2,
GodSpeed,23,159.003,0.2247754578327316,70.0,0.3365384615384615,1,1,0,0,34,612.69,0,34.8,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,1,
Blase Cycling,24,159.241,0.2108946693106257,73.0,0.3076923076923077,1,1,0,0,34,612.69,0,35.9,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,1,
Chiefs,25,159.79,0.1788755394844284,77.0,0.2692307692307693,1,1,0,0,34,612.69,0,37.25,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,1,
Alpha Kappa Lambda,26,160.64,0.1293012947626277,80.0,0.2403846153846154,1,1,0,0,34,612.69,0,38.35,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Alpha Kappa Psi,27,160.669,0.1276099381780001,84.0,0.2019230769230768,1,1,0,0,34,612.69,0,39.7,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,2,
Tau Epsilon Phi,28,160.815,0.1190948326140209,87.0,0.1730769230769231,1,1,0,0,34,612.69,0,40.8,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Novus Cycling,29,161.095,0.1027644931762511,91.0,0.1346153846153845,1,1,0,0,34,612.69,0,42.15,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,1,
Acacia,30,161.199,0.0966989385279358,94.0,0.1057692307692307,1,1,0,0,34,612.69,0,43.25,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,1,0.0,0,1,0,
Lambda Chi Alpha,31,161.332,0.0889420272949963,98.0,0.0673076923076922,1,1,0,0,34,612.69,0,44.6,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Theta Chi,32,161.824,0.0602472879971998,101.0,0.0384615384615384,1,1,0,0,34,612.69,0,45.7,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Army Cycling,33,162.857,0.0,105.0,0.0,1,1,0,0,34,612.69,0,47.05,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,2,
