track,artist,timestamp,tags
Terlingua,Gregory Alan Isakov,1771991053,"['folk', 'singer-songwriter', 'acoustic', 'americana', 'indie']"
Rubber Band Man (with Hozier),Mumford & Sons,1771990690,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Badlands (with Gracie Abrams),Mumford & Sons,1771990471,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
The Banjo Song,Mumford & Sons,1771990292,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Imma Be,Black Eyed Peas,1771979616,"['hip-hop', 'pop', 'rnb', 'rap', 'hip hop']"
Meet Me in the Woods,Lord Huron,1771975901,"['folk', 'psychedelic', 'indie', 'indie pop', 'indie folk']"
Up&Up,Coldplay,1771975639,"['rock', 'alternative', 'britpop', 'alternative rock', 'indie']"
The Final Countdown,Europe,1771975234,"['hard rock', 'rock', 'classic rock', '80s', 'hair metal']"
Alleycat,Mumford & Sons,1771974924,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Shadow Of A Man,Mumford & Sons,1771974736,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
The Banjo Song,Mumford & Sons,1771974512,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
"Everywhere, Everything",Noah Kahan,1771974286,"['indie', 'folk', 'singer-songwriter', 'acoustic', 'indie folk']"
The Banjo Song,Mumford & Sons,1771974282,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Everybody Wants to Rule the World,Tears for Fears,1771970511,"['new wave', '80s', 'synth pop', 'pop', 'rock']"
Alleycat,Mumford & Sons,1771970259,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Rubber Band Man (with Hozier),Mumford & Sons,1771970071,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Shadow Of A Man,Mumford & Sons,1771969853,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Conversation With My Son (Gangsters & Angels),Mumford & Sons,1771969630,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Meet Me in the Woods,Lord Huron,1771969301,"['folk', 'psychedelic', 'indie', 'indie pop', 'indie folk']"
Icarus (with Gigi Perez),Mumford & Sons,1771969053,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Badlands (with Gracie Abrams),Mumford & Sons,1771966468,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
The Banjo Song,Mumford & Sons,1771966294,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Badlands (with Gracie Abrams),Mumford & Sons,1771966105,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Rubber Band Man (with Hozier),Mumford & Sons,1771940967,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
The Banjo Song,Mumford & Sons,1771940749,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
The Banjo Song,Mumford & Sons,1771899367,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Shadow Of A Man,Mumford & Sons,1771898830,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Alleycat,Mumford & Sons,1771898607,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Icarus (with Gigi Perez),Mumford & Sons,1771898418,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Here (with Chris Stapleton),Mumford & Sons,1771898226,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Rubber Band Man,Mumford & Sons,1771898035,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Conversation With My Son (Gangsters & Angels),Mumford & Sons,1771897811,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
The Banjo Song,Mumford & Sons,1771897474,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Clover,Mumford & Sons,1771897239,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Shadow Of A Man,Mumford & Sons,1771897022,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
I'll Tell You Everything,Mumford & Sons,1771896793,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Stay,Mumford & Sons,1771896638,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Begin Again,Mumford & Sons,1771896426,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Alleycat,Mumford & Sons,1771896197,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Here (with Chris Stapleton),Mumford & Sons,1771896009,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Run Together,Mumford & Sons,1771895823,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Icarus (with Gigi Perez),Mumford & Sons,1771895561,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Badlands (with Gracie Abrams),Mumford & Sons,1771895372,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Meet Me in the Woods,Lord Huron,1771895195,"['folk', 'psychedelic', 'indie', 'indie pop', 'indie folk']"
The Night We Met,Lord Huron,1771894927,"['folk', 'psychedelic', 'indie', 'indie pop', 'indie folk']"
Prizefighter,Mumford & Sons,1771894719,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Rubber Band Man,Mumford & Sons,1771894509,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Conversation With My Son (Gangsters & Angels),Mumford & Sons,1771894285,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
October Skies,Mumford & Sons,1771893955,"['folk', 'indie', 'british', 'acoustic', 'bluegrass']"
Pump It,Black Eyed Peas,1771893733,"['hip-hop', 'pop', 'rnb', 'rap', 'hip hop']"
I Gotta Feeling,Black Eyed Peas,1771893518,"['hip-hop', 'pop', 'rnb', 'rap', 'hip hop']"
